0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:44:23 +0530] "GET /Day01/banca.txt2 HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:47:19 +0530] "GET /Day01/ajax.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:47:19 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:47:19 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:47:26 +0530] "GET /Day01/ajax.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:47:26 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:47:26 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:47:28 +0530] "GET /Day01/banca.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:48:23 +0530] "GET /Day01/ajax.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:48:23 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:48:23 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:48:26 +0530] "GET /Day01/banca.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:52:38 +0530] "GET /Day01/ajax2.html HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:52:38 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:52:43 +0530] "GET /Day01/server.jsp?name=Sachin HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:52:45 +0530] "GET /Day01/server.jsp?name=Sachin HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:07 +0530] "GET /Day01/ajax2.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:08 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:07 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:41 +0530] "GET /Day01/ajax2.html HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:41 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:42 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:42 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:44 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:45 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:46 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:46 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:48 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:48 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:50 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:51 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:51 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:53 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:54 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:54 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [20/Jul/2012:17:07:56 +0530] "GET /Day01/time.jsp HTTP/1.1" 200 30
